date,latitude,longitude,sst
2018-01,-44,152,16.682594
2018-01,-44,154,16.54534
2018-01,-44,156,16.583569
2018-01,-44,158,16.659948
2018-01,-44,160,16.69235
2018-01,-44,162,16.804625
2018-01,-44,164,17.102058
2018-01,-44,166,17.485807
2018-01,-44,168,17.654303
2018-01,-44,170,
2018-01,-44,172,16.724562
2018-01,-44,174,16.54671
2018-01,-44,176,16.616926
2018-01,-44,178,16.77114
2018-01,-44,180,16.886229
2018-01,-44,182,16.973536
2018-01,-44,184,17.013346
2018-01,-44,186,16.959099
2018-01,-44,188,16.807962
2018-01,-44,190,16.594559
2018-01,-44,192,16.384861
2018-01,-44,194,16.187778
2018-01,-44,196,15.98909
2018-01,-44,198,15.80372
2018-01,-44,200,15.633549
2018-01,-44,202,15.483125
2018-01,-44,204,15.3571415
2018-01,-44,206,15.225114
2018-01,-44,208,15.069096
2018-01,-44,210,14.868415
2018-01,-44,212,14.641158
2018-01,-44,214,14.422978
2018-01,-44,216,14.204174
2018-01,-44,218,13.992462
2018-01,-44,220,13.76053
2018-01,-44,222,13.538781
2018-01,-44,224,13.3682
2018-01,-44,226,13.244009
2018-01,-44,228,13.184042
2018-01,-44,230,13.135593
2018-01,-44,232,13.130188
2018-01,-44,234,13.171961
2018-01,-44,236,13.255397
2018-01,-44,238,13.338452
2018-01,-44,240,13.425486
2018-01,-44,242,13.533545
2018-01,-44,244,13.65686
2018-01,-44,246,13.758504
2018-01,-44,248,13.814296
2018-01,-44,250,13.81823
2018-01,-44,252,13.79144
2018-01,-44,254,13.74678
2018-01,-44,256,13.711079
2018-01,-44,258,13.6836
2018-01,-44,260,13.672098
2018-01,-44,262,13.650435
2018-01,-44,264,13.620303
2018-01,-44,266,13.588112
2018-01,-44,268,13.570061
2018-01,-44,270,13.532614
2018-01,-44,272,13.508657
2018-01,-44,274,13.52133
2018-01,-44,276,13.556005
2018-01,-44,278,13.632123
2018-01,-44,280,13.81731
2018-01,-44,282,14.052172
